shape parameter	hindex	hlim1	hlim10	impact factor	information	random
0.1	1	0.44	0.0	0.44	0.44	1.0
1.17741	5	0.51	0.02	1.47	1.171496960534475	1.0
1.4823	7	0.5	0.06	2.48	1.3532222081531466	2.0
1.66511	7	0.45	0.05	2.4	1.1710720062741649	1.0
1.79412	11	0.48	0.13	8.71	2.0310064990425873	0.0
1.89302	10	0.49	0.1	3.76	1.5328764715497654	1.0
1.97277	9	0.47	0.08	3.13	1.4798589280262948	0.0
2.03933	12	0.5	0.12	7.34	1.9677175797045932	0.0
2.09629	11	0.5	0.14	4.92	1.9816299336397523	2.0
2.14597	14	0.49	0.14	46.69	2.4791933171237748	0.0
2.18993	15	0.52	0.18	8.16	2.3126005947224475	0.0
2.22931	17	0.55	0.2	13.29	2.625606860273091	22.0
2.26493	10	0.46	0.11	9.18	1.8154955600432834	0.0
2.29741	9	0.46	0.09	3.44	1.6265102521286254	2.0
2.32725	14	0.49	0.18	10.72	2.288302887700152	2.0
2.35482	14	0.45	0.2	17.22	2.3179388960787817	0.0
2.38043	11	0.54	0.16	12.94	2.329365133622404	0.0
2.40432	12	0.43	0.14	10.54	1.9708360266565972	47.0
2.4267	12	0.52	0.15	16.02	2.2539026048778292	0.0
2.44775	16	0.52	0.18	12.32	2.286631712627152	19.0
