shape parameter	index	hindex	hlim1	hlim10	impact factor	information	random
1.5	1	7	0.46	0.04	1.96	1.23355949742	0
1.5	2	10	0.44	0.1	2.62	1.40918185783	1
1.5	3	8	0.6	0.06	2.8	1.66026696702	0
1.5	4	10	0.48	0.1	3.46	1.44758763828	0
1.5	5	8	0.59	0.04	2.01	1.50407907688	0
1.5	6	9	0.52	0.08	3.1	1.6744498132	8
1.5	7	9	0.51	0.08	3.04	1.52551244863	0
1.5	8	6	0.53	0.04	2.01	1.47985744344	1
1.5	9	7	0.46	0.04	1.86	1.19303634364	1
1.5	10	7	0.49	0.05	2.26	1.33540552859	1
1.5	11	8	0.52	0.07	2.38	1.53299793055	8
1.5	12	7	0.53	0.06	2.37	1.33795126225	1
1.5	13	9	0.58	0.09	3.71	1.81518970301	5
1.5	14	10	0.53	0.1	2.81	1.56035919303	0
1.5	15	7	0.54	0.05	2.18	1.31577776773	0
1.5	16	9	0.53	0.08	3.29	1.59626277731	16
1.5	17	10	0.45	0.1	3.17	1.41126448272	0
1.5	18	8	0.52	0.07	4.13	1.59405276869	13
1.5	19	9	0.56	0.08	2.97	1.55072099187	0
1.5	20	8	0.52	0.07	4.18	1.56373733242	2
1.5	21	9	0.54	0.08	4.93	1.50456566764	0
1.5	22	10	0.49	0.1	3.08	1.48749526066	0
1.5	23	7	0.41	0.04	1.82	1.08829576133	0
1.5	24	8	0.48	0.07	2.18	1.20203145992	1
1.5	25	7	0.5	0.05	2.22	1.39499242571	0
1.5	26	8	0.5	0.08	3.2	1.49082654036	0
1.5	27	8	0.47	0.05	2.15	1.32194791412	0
1.5	28	7	0.48	0.04	2.43	1.45961797322	0
1.5	29	7	0.47	0.06	2.49	1.38142747117	0
1.5	30	6	0.49	0.04	2.25	1.25118895761	0
1.5	31	9	0.46	0.08	2.9	1.40507039847	15
1.5	32	7	0.56	0.03	2.16	1.39283655576	3
1.5	33	7	0.48	0.05	2.21	1.37817561977	3
1.5	34	7	0.46	0.04	1.84	1.27411071921	0
1.5	35	9	0.59	0.08	3.08	1.71292059868	1
1.5	36	8	0.64	0.06	2.32	1.540216298	1
1.5	37	7	0.5	0.05	2.24	1.2905582191	0
1.5	38	10	0.53	0.1	3.2	1.68619389185	0
1.5	39	5	0.43	0.03	1.54	1.09547684482	0
1.5	40	8	0.47	0.06	1.77	1.16734164337	12
1.5	41	6	0.5	0.05	2.19	1.37723464365	0
1.5	42	7	0.5	0.06	2.7	1.43140594776	4
1.5	43	6	0.46	0.04	1.43	1.08390426601	1
1.5	44	5	0.48	0.04	1.72	1.16897409263	3
1.5	45	8	0.43	0.07	2.2	1.26931737945	0
1.5	46	7	0.56	0.05	3.66	1.43726210105	0
1.5	47	7	0.45	0.07	2.62	1.41564300689	1
1.5	48	7	0.54	0.04	2.01	1.35440700049	3
1.5	49	9	0.48	0.09	3.63	1.53111936353	0
1.5	50	9	0.49	0.06	2.44	1.4483682657	1
